Región,País,Ciudad,Nombre,Ubicación,Tipo,Calificación,Precio,Foto URL
Norteamerica,Estados Unidos,Texas,Shri Radha Krishna Temple,"{'lat': 29.6872782, 'lng': -95.5842292}","['hindu_temple', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrUwLq1B2cK4fvMmMkRIdmEtuLreG1sBB-_SQPBZ6EFRO7kkq9s20q9JIn9KfxoP3cGCRexI3XlYm0euiJ3QY4dTotZ50T6vcyNe3aKwrAGeOK28QkmLh3ogb50WPACnzPSQ7HNDs6v8hJuiyVnVw7dNcvU77G-LhbMiudY4x4OXvCd&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Sri Guruvayurappan Temple Houston,"{'lat': 29.6367122, 'lng': -95.50654589999999}","['hindu_temple', 'tourist_attraction', 'school', 'place_of_worship', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWp6idsqeRUmNDjzCu6oNl9zhrwD2-FFOZ1zBmbZU18BCPwVuD-udgsK5xlT-2UM1Xj4yQcp_CM3ahb7QYfikcZfGLzHjvHkoDpVMsZ7zAqsHZGPJ8kD4RK-AlIRMlD3-i4Ljej2R5EnZYhZB9hQSyhexvmtyjcajJXldZdM-gp2JRVQ&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Katy Park,"{'lat': 29.8138483, 'lng': -95.804904}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWpPxqz_RuKInvaZDVGIS2D0e1OxDYPRc8K7TC9Mn_FFYg2tktG-gemceqlCEiqtba_BKa3548u1HDEA55uBUudiss0yL0ahy6WTdodOHeNnRh-clu7AtNMMRkCHMpSKZzfBs1GrttANWG0Rca2MYKAZMBSA9VvX6Wr2lmD5uAiGSj0B&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Bane Park,"{'lat': 29.8721298, 'lng': -95.5415629}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWqor2JkP1lCOmU6Zm0aolLE3aL1f51P3oT-UFDQ-p_Nc_6xNhxVnKDAyjkzOMy0qPlS7Ux9gI7MFx9_tF6vk2Uwl7afOJlQLwkv_6FijQc57P2zdnVeA7_DDsU-1OvNT2mVh06ZKES59RBMlZq_aqV3C2r4M7zdstIBb-4VMMpl3TK6&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Houston Museum of Natural Science at Sugar Land,"{'lat': 29.59256859999999, 'lng': -95.6497095}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.4,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWqqkBoqBLEiZtD73VteOKr66W1qDTAHW6UV_bLshvVnKYchiUBdlW4IUphxOv5BPmWX4QXSiy3-L2ZfiHC9t_VDTplu_xRf5xcy9ozl2Ll5oviNNwqhGfj0lGFWqPVaxVlL_QYUOB4blcVRYTRxHD8rXE_I2SPjx4DIuj7aPEIeJXGM&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Tom Bass Regional Park Section III,"{'lat': 29.58974049999999, 'lng': -95.3564044}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWoZ_KDcGQSY0YwnttlwHHmuG8cjQ26E6axWI6LRY4US-5oXhnGb27ttkPzmfMkrJrFRBfsq8z5_r3g7Yc87hpOaSHAANs1UglSlRUUUsPM4UA2s4WqRrlQfaHozRdVw65I0cMwcZUzwhmncZqfffH3CzkSemVjcItN-wESdc5IhHbSe&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Co-Cathedral of the Sacred Heart,"{'lat': 29.7498287, 'lng': -95.36872679999999}","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",4.8,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWr5oheD5bosC-cZs7fV0XGW4GA6QyZIeRsXgFp2EGKR86O-7LNtoIkIW-L9b7G9hUSx0so_C9DSr-SU56JotjuMg4gDTHMFHz_QOpZUmR0U0H6ylBsPlo3dZXSq3bGgYNGUcAHY2y2KVVOSu8fEb9ddMxZhlzrHkfLSE2iGCNlsFOer&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,The Houston Fire Museum,"{'lat': 29.7474178, 'lng': -95.37483600000002}","['museum', 'tourist_attraction', 'fire_station', 'point_of_interest', 'establishment']",4.3,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrQaZNlPkXEzYttMYeRx278fKRiY19peJbzIx2Un0VIdpYZnz3XKcYTIQY0GiDES53cKMx4t5p85iptMlj5xseFEHOpLCMKQzpIrzznloBVIYZxQvQWIy_z4K7GbY3yft95JRueu2YEIToIfGOIlSJ-Muu2k8olsXk-f9oIavXYj0M&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Texas,Sugar Land Memorial Park,"{'lat': 29.56069129999999, 'lng': -95.6418443}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWo-MzyUDNVB1i9U5Fznv4PUYl312fzYijLcTEa1nBepZ85hPkYX6NV94Rw_NvAtY75yH0UJRtp6ZaP64zVovxs4W10ZzbzNR4uGbItdJJvbKo4OB7Eog4gvLxEZzHkf7Z2Pm4LEyQnF-vuG0V09gg-MObJsNCquUO-n8dtcAeOr31lm&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,"Seminole Hard Rock Hotel & Casino Hollywood, FL","{'lat': 26.05250479999999, 'lng': -80.20976809999999}","['tourist_attraction', 'casino', 'bar', 'lodging', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrACYsXhH-Q9dUip591LUlvLEtg9peMb0b9qushI5JNTQkz3DbVJ-ICuiBaUyCm5GdD6GkPiI2POzIWdR88ADoblMtkTYfQDcpNr9tHSA3G7gAN4LTh2-903qiw1H6X9McQwtn6EXISsqn6jGicX0wvfJ6Ij_AVUMDzQkHh3EGUE_g&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Miami Seaquarium,"{'lat': 25.7338942, 'lng': -80.1652648}","['aquarium', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",3.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrX6WVR2t4lR3kNjCjeOiHbfRRJFiETfGfXo_0BJm7dVsN6ZN2km1lWs2LodZGrt_ak5q09lBTHWjsOzUYcc7VQiDWQ0lldelGoP260AXhAhl3r2n0o2E-vxsupTu7U8BLAxg1DGzoDivF4IqZiql_DLoE1s5mNbsDN6oTMIm6ea2kg&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Haulover Park,"{'lat': 25.9114426, 'lng': -80.1234842}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWokVAZCse3aOjOVGAGiGtz43Frb9k134CUpwaRKX0s5RD_Tx3qshbuhM2OM4UK3_TTOFDugRmcmL4tdPx4fuWzE730co3FbFXSxVLy0qLIJdetWcrm03sVzrDN1rsGxRbwIIz-ZKqdfeii9LUb8g3yXKVKFi8UMNvvY9H48Co5gsbLU&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Vizcaya Museum & Gardens,"{'lat': 25.7443866, 'lng': -80.21047469999999}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrSRgvfJplwDGN7LOigvWMhykweY7ADPX4-ljq3nTqrgPx1lhMIkBlf-4XOMLivy3teafjlI8GKOfrXMGcoVgdWie2vwoJSHrZk993MAjXELfpWLRB2xDBJnI8oyUr86C-TMuF3Ke6i9NiDkktZ2puK9a-T7FF5US2SEIBO1fD24JmE&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Jungle Island,"{'lat': 25.7849814, 'lng': -80.17422239999999}","['tourist_attraction', 'amusement_park', 'zoo', 'point_of_interest', 'establishment']",4.1,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrTk__KG7kX-d9CX2cGWJb9KNSWBhfOOfeTTuLpNZCa_b_S9PGKMwejAQTnUDa5J3lzDPOajuffWjMPkveN6F2xa4_d5VA6LZhAwWxGHBsPEXxaFvEyHVi6DBiCZvlzzAF7SM0jZdQWzP-8x5iR2K7Lc6ZwINM--Gumrw1rLiGu8zk8&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Magic City Casino,"{'lat': 25.7767796, 'lng': -80.2569271}","['casino', 'tourist_attraction', 'point_of_interest', 'establishment']",3.9,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWpeHtmWnSSO5C2-MIuiR4eP8UZcJ6vpqRJ8xEA-9GPRou9Qz72K182X35LJRxooQFqMpxjL75Fa1KfOI_CMqEKwoQ9Ub1LdAyd-CMsc0t2aoOZGMY0LB00cEptToqBFgESU_PmaRoP6SuJYj7hNBVoa0gS4Qc0_y5zBriSKgEak53wT&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Museum of Contemporary Art North Miami,"{'lat': 25.8900078, 'lng': -80.1829918}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.4,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWoYgY2r1KAPMjhxVcGfA7nrEgK68FlVCsBo6Jvd1fn8h5p9S0Sug4Fbxa8QEhUDODJhtacZ-RlurZGOQET3Ivz8zcP91EjZiuO0DLjWxDE1E8BBYh6YxdbBAryOPidARk6WgHmoU1Jh_J1qsjHiW9pUAAwlgwNZgeBTZ7lb1CbrQlW3&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Casino Miami,"{'lat': 25.8073372, 'lng': -80.2571905}","['casino', 'tourist_attraction', 'point_of_interest', 'establishment']",3.9,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrULiVLbTayW6b-smW2q_9MTtM7dPIU3y0fEGudlTRzh7QsxOWwCxV5nd1gVmbmjX8DCbzqsyOi0CjEGisILjbPR-_JYRNqy0dKW5jPnc-redQ1PGbV1gWqK5qroKPN0-OhLoMtz35QFaZ47imdM-LlarE2XRAxYqRj6TepdilNyfaR&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Venetian Pool,"{'lat': 25.7455209, 'lng': -80.2732711}","['tourist_attraction', 'point_of_interest', 'establishment']",4.4,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrEbPQMIZQJfDagA82uguWXUO0QssT9-oYujV4ZGmWIQx50gEefsjBMg0Q1HPQhk6Y92e_JZNoN_3rlhuKBgSkh1LYzhBaEc6oSnIL5JV1vicLwJSXYPQpxo9w8gGOehBZjBDjT-X5-Zc1AaZcTuXo1LVTUWT81pkSarFlbKJLocHGo&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Coral Castle,"{'lat': 25.50065589999999, 'lng': -80.44446219999999}","['museum', 'tourist_attraction', 'store', 'point_of_interest', 'establishment']",4.4,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrWz28VtgGu16sqOsRtZLtlHqW4ODKv29dfuQSuNl_3Cuc2lr_u2DIq9B7Cdj_wZzyaoErc_iiczIZqQDJWmqKgK9WpiMs1wu35BV4FdVKLnKe1xEl3iFibrhVNKvqOngMV1EX035qrZ-gN4ymrqyXxbdVHXRhwG6tR7mbxIJlf0idc&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Biscayne National Park,"{'lat': 25.50031569999999, 'lng': -80.1828286}","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrons6ui1KiZOpWHtXkl4lgHEvitrahLZucwYUW2nrgVQiaVt2TgmreJQCGvadE6x2qbkF8ltrBwVYkb6v4XRLgrNlBmV59jl26oKXBhtCcrMaCCbkYDzHzMisGou057G_P2G9bKCDTmzFfvz7MIc3jEiLHmS9vua0TWzProm-tNg-K&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Historic Virginia Key Beach Park,"{'lat': 25.7363104, 'lng': -80.15618850000001}","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrMEcJ7sQvTH4GY4itC_YFbO2Ca0c6Oflc47DdIQhcXfCGac7jTrAOCVmZkwTHoKcuzflZuRL2po0duhhhVB8JPRIxXTmnj2KKeCKLMHVqXZjhtnzb_yaCcJ7hUlNPWN9GtJTfKYdiFdV02KU7GHILRMd6saXRm6yTzr-FQAUTv_iMo&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Gator Park,"{'lat': 25.760602, 'lng': -80.5811172}","['tourist_attraction', 'travel_agency', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWp1Q31HdZOrEyYwXXsCft8fiQcG-XYYlbVlwgVMaE0aDL9FjdWTLGrDmiavUFoyJQzyRZYQOIipD97aaoBpD6vDTa3BNzH_ZIdRGYqWYRc4ZHSUDXYtwWoIh4eoGJPi1sxQ5gRGPzC8dp8MWw1XG4cgwJZfbFKgHS1YJN_SviJRWPc&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Amelia Earhart Park,"{'lat': 25.8820097, 'lng': -80.2751054}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWo1TKUGGKL4VV1LZs4wQryJiTdEGVuD9QWcGQuQ98Z5zNV6vOmYYJ9fCXUUj8YkibOmBi3_MT2HTF14WOz_JBIVoOjR4BiITdRUPRDnJ0jKzx4YzU2fINVNfCOKwuA22RSyCuLUAESyovp6C6R8N2wmovw-37A81HBBRBn71g4ZB1r4&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Bill Baggs Cape Florida State Park,"{'lat': 25.6755217, 'lng': -80.1590677}","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrofiewPu1jmQEeZKhIqz3fDGH-uniUjUgQr0iR2cwXap4TE5L5f1vEOG0OcZujBH667WVXWFG4tZsFTZcDACi8WKsFh8PvixHBDTN08kKiFF1gYvtthe52A8VLVX8DNtJN7O-_AqrXtxLyv5-gEpMePY3Zc_n5eXd3fnTyCI1aGMjv&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Miami Children's Museum,"{'lat': 25.78469939999999, 'lng': -80.1765206}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWoddGAL9zmVhbobmPJHAe8Xchas9oYaE70Xjm4W7ZTUqzjiMFUal8JDTTiNknemh91u0rn3r2A373TBG0KTLeutkhIql7WOQzxYssRmNgx7vEBuNx98x5oj_YuABQV6dsu0vfpuu0rmfZtEbWi358lQt8rtjUfENUzcemaHX3Ptcr_i&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Miami Beach Botanical Garden,"{'lat': 25.7956364, 'lng': -80.13547989999999}","['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.6,0,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWo8jAsqEnu2gU6p5LpTU8eQWVU4iuZ8eGBDhoQWKe7X2uB0jfLtjYBm7NXApAr9rtui13-7YsaOS19DCXPfIkoRxGvn9U-iqlyqoaQ4dZ5DTYxKV6bLbxN2Ck3QUKnrRFMEpEUg5E7X0T6N7HwR0iQg5eVYriUFPBlqth9FtuXXL211&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Peacock Park,"{'lat': 25.7256603, 'lng': -80.2405536}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWr0UXqRjTcPMPJDcyr3JHldlIsR5wOkrGuUxhQBKwRcLEm_3vi5PG4E9-TmpFOAPQqeiX7QF79LVGfK6s0vLb4_l_T-3nf0vzzfzFyC7cY9TwjvNFQUTwUGbcHm9BPzB7PWvry2Sa_olNfhrW2u_ZRAZGTuCsSsMkCuq69nr7WVSsLl&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Museum of Discovery and Science,"{'lat': 26.1206046, 'lng': -80.1479671}","['museum', 'tourist_attraction', 'movie_theater', 'store', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrumaZmexcot8zFJJL3riBBt-mwDcJOk7Sob0QreJRMw2F6lKR8cAeHV5tP5Qff0l8WTLin3DxEjKX_EoMWmG2XCI06dE9_jYZ7rVl3Ekfaymm0_ScyTChZHD5q3acE19bBU6Q0-VWn4x97t5jOP_DwZwTbDhq0XluKjQZcUBebh4jI&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Flamingo Gardens,"{'lat': 26.0742403, 'lng': -80.3133325}","['tourist_attraction', 'museum', 'park', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWqCyC02Cb5ITTJXZuVLp2o0XIGAdfrRqRhmdIhvcUYPMnJCo5Dv_V1O4S1hXVkbmFy1JDxwfa8C_bfCwa6NbndFo0WvAhr8MdkqreAhgrGQGJOlPU7yC6Ujzm3IUz0hxsrJt0lhhDmmD505fp1DjDttf9N7eqLqnbonFhs2o2qObKsx&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,The Bass,"{'lat': 25.7975668, 'lng': -80.1301297}","['tourist_attraction', 'book_store', 'museum', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.3,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrDdvkcXR3wyRYL0xb4f0QtvmrMBQjw3_INo8OIBotlJbBcTAwmJP0wHejnbApERi5dt3eFmERv_HZRFCwNnWgipFvc0hABWqvPdfFYK4pp1SzuiaUHCTAQ2BIfpDhxQfEqW1sGvBrEJ2Fa2ZIfEZks8p-bmlWWyUCprgRemz4ekqin&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Pérez Art Museum Miami,"{'lat': 25.7859307, 'lng': -80.1861912}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWr3ZDWea6ZMwST1B_tpT5V6opqaZSl1MxJE8VOx3spgX-5rDgWb6xFEfsxATI1jiqPT8I7r8Xl5uuhnyI6HVypSiIgbg5RXWweFY78h2SrLYakv5KpeaCasvSD4HxBX_voPia_NgO566SNdda9prAytCamEakMnHzF3HfPgEw3CaRz0&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,C.B. Smith Park,"{'lat': 26.0160053, 'lng': -80.3158971}","['park', 'amusement_park', 'tourist_attraction', 'campground', 'lodging', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWoZn8YEEkdcaLh7zd_vEOHsItsQoCsacXxgFYYmp1GAspNkq7UBZ3Jvq0kBm2h6NLgYwFWjEyphAETT5BbexGAcHkJ2bVqOR4CBvp2Oj14ajvNyixUVAYBkFtVHuVDC8TEqsOIozU1ES94v6RQok001C_O4K5_RHX3j5bP85rgcIBH3&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Sky Zone Doral,"{'lat': 25.8230964, 'lng': -80.3299329}","['tourist_attraction', 'point_of_interest', 'establishment']",4.2,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWo_Ung6xc6UmXwDaAFZDnQJFdx8r61aJBcd_CLPlpPxi4vmmhRZTaDFhNTgLXDq6oVGGKkeoMihvyp7IE-Ws9Ia1tL9kGzPrSX-Z1wSE2of4R_yPXTDNvO4-qW-zA50neIzM3uVIDIZbYEeLVsUqUH9aHpk706K321NM2sXl_Gr3jM2&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Markham Park & Target Range,"{'lat': 26.1280841, 'lng': -80.3601856}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWo84tpL6FAZ_R3QcVDl3RViHrR5WZU-veSmLlh_3fVy8b5BV4UM_kSDu80Hz6nM6MUbNO72g8FvXKkbmm0NJLnXhmBYQI4OYIXTIiLBY_7W4RdShskBMBw8oy0ZrtdqzMFx0BDzZfHF1a3dMyURpCqafEVEb5T5K5P5-yZMmMvpZ3AJ&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Gulfstream Park Racing,"{'lat': 25.9780654, 'lng': -80.1395727}","['tourist_attraction', 'point_of_interest', 'establishment']",4.5,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWpfH80gJ1psxSVNWiAHITqVnnqxRUEnLiy3zy24WcvUgMNSY9WbRk6r-tVulyHWEEo0G-J6eRi5kVnZme_YSQXEhPhCpDq5eGnY-daHiCpgiGAXu86dJw78qlmjqZGRoS13lL0o4cxTdCd6RRc7WwbeNh2KMey5TQhTD2HuFuj5M1nk&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Cape Florida Lighthouse,"{'lat': 25.6665986, 'lng': -80.1559585}","['tourist_attraction', 'point_of_interest', 'establishment']",4.8,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWozDQae0l7rS2QonZnCdxdRDg9s_b15C412R7UT-3ESzarlm3bKDWXCwBKb2t2NAGxWFrKZbFrn59E1A6BfzJbbhazYk2rmMhQtw4SFj70YWGVJjqlW8VGS-NTFAcTkLIgUO_My8ctSamC395_OhTU-keHk7XxtMRodxdeq_2lX9dW9&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Hollywood North Beach Park,"{'lat': 26.034246, 'lng': -80.114869}","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.7,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWrlCW1JI9ETC5vzln0Xu0zHK9-mztyFQBynbtC3KCBu6fVuzhymULXH2nn-IUqC1ay9d5EJ3S0gKlfiPdh0GNU0H7mbxQdPTAU2QOtm2naNJJUBngxIYKXR8QJWirEDMdK-nnHykuj6qLHRUsGdSTmmMSikLz9RcZrO6VVwLW3zdWGb&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,The Ancient Spanish Monastery,"{'lat': 25.9296854, 'lng': -80.15457219999999}","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.6,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWpIO671TCA4m5kD-ZQCzGWYIOZ6uIipPTWK5R8lVFAFfSCroar8210JVbVLtgsshzp6mpkcVAEOiOt4m7mBR5KBK7tzDhPelczlV1pqhZuA1E-Xgz454G9JeuqqFu1VMhP0gXCA5KKP89iSz7E4FmZK2nYJifjIN6p1ZwUol07RAKDH&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Coastal Yacht Tours,"{'lat': 26.11903819999999, 'lng': -80.13589139999999}","['tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",4.8,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWogFHFS9C72ayM6E8eT8VwRsZY3O0P__RsdWO1q1Cu5xRr5vJ2NgfMUzfeO6i_wPANS99vXYWbVlY3dFaoVybZ_EBeXq5SBpxC6vi_Pw5teU6L4oxFI5RbvNcEBU3HqFW8tE1Ng9Ojt6CDmjdl695iJdIJJjmCqJWblnUmn2RJhLRtC&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
Norteamerica,Estados Unidos,Florida,Coopertown The Original Airboat Tour,"{'lat': 25.7607502, 'lng': -80.5612506}","['tourist_attraction', 'travel_agency', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,No disponible,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AdDdOWp93Eugb6H8Bq9yLEvMEhyjD2goKl7JUwGJbsGnIRDd6Bz8WhmspyhWvWr6REHcr1eAk--QtzyLw8iB1tANUbiCHYYnc_DwM-aAz-kcEFDEAN0PokcxTSf6_r6hXWZRkk20AZpy57FSvO_iI1lfierjW6TUMkWyAhOKS-2EBX4dIKQT&key=AIzaSyApbt6sBHnTAGiGvpZ6vtMmwqXpcEueisE
